date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:38	436397/436397	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2004:13:14%20GMT	https://thenewgym.vn/wp-content/uploads/2023/01/cacthietbitapluyen.png	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2023/01/cacthietbitapluyen.png	(from https://thenewgym.vn/en/about-us/)
21:04:39	737492/737492	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Jan%202023%2006:26:10%20GMT	https://thenewgym.vn/wp-content/uploads/2022/12/BANNER-3-1.png	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2022/12/BANNER-3-1.png	(from https://thenewgym.vn/en/membership/)
21:04:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jun%202024%2014:06:38%20GMT	https://thenewgym.vn/en/the-new-gym-equipments/	D:/Fresher_Training/QNSportict/thenewgym.vn/en/the-new-gym-equipments/index.html	(from https://thenewgym.vn/en/about-us/)
21:04:39	8090/8090	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:39%20GMT	https://thenewgym.vn/en/wp-json/wp/v2/pages/1331	D:/Fresher_Training/QNSportict/thenewgym.vn/en/wp-json/wp/v2/pages/1331.json	(from https://thenewgym.vn/en/membership/)
21:04:40	2135/2135	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:40%20GMT	https://thenewgym.vn/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fen%2Fmembership%2F	D:/Fresher_Training/QNSportict/thenewgym.vn/en/wp-json/oembed/1.0/embed5ea9.json	(from https://thenewgym.vn/en/membership/)
21:04:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jun%202024%2014:06:40%20GMT	https://thenewgym.vn/en/?p=1331	D:/Fresher_Training/QNSportict/thenewgym.vn/en/index4ac2.html	(from https://thenewgym.vn/en/membership/)
21:04:41	2285/2285	---M-Z	200	added ('OK')	text/xml	date:Sun,%2016%20Jun%202024%2014:06:41%20GMT	https://thenewgym.vn/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fen%2Fmembership%2F&format=xml	D:/Fresher_Training/QNSportict/thenewgym.vn/en/wp-json/oembed/1.0/embeddc9a	(from https://thenewgym.vn/en/membership/)
21:04:42	2444318/2444318	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Feb%202023%2009:20:32%20GMT	https://thenewgym.vn/wp-content/uploads/2023/02/free1.png	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2023/02/free1.png	(from https://thenewgym.vn/en/clubs/)
21:04:43	6982/6982	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:42%20GMT	https://thenewgym.vn/en/wp-json/wp/v2/pages/1335	D:/Fresher_Training/QNSportict/thenewgym.vn/en/wp-json/wp/v2/pages/1335.json	(from https://thenewgym.vn/en/clubs/)
21:04:44	2125/2125	---M-Z	200	added ('OK')	application/json	date:Sun,%2016%20Jun%202024%2014:06:43%20GMT	https://thenewgym.vn/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fen%2Fclubs%2F	D:/Fresher_Training/QNSportict/thenewgym.vn/en/wp-json/oembed/1.0/embed763a.json	(from https://thenewgym.vn/en/clubs/)
21:04:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jun%202024%2014:06:43%20GMT	https://thenewgym.vn/en/?p=1335	D:/Fresher_Training/QNSportict/thenewgym.vn/en/index9383.html	(from https://thenewgym.vn/en/clubs/)
21:04:45	2275/2275	---M-Z	200	added ('OK')	text/xml	date:Sun,%2016%20Jun%202024%2014:06:44%20GMT	https://thenewgym.vn/en/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenewgym.vn%2Fen%2Fclubs%2F&format=xml	D:/Fresher_Training/QNSportict/thenewgym.vn/en/wp-json/oembed/1.0/embedc02b	(from https://thenewgym.vn/en/clubs/)
21:04:45	496223/496223	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202024%2002:16:13%20GMT	https://thenewgym.vn/wp-content/uploads/2023/05/CARDIO.jpg	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2023/05/CARDIO.jpg	(from https://thenewgym.vn/en/clubs/)
21:04:45	759985/759985	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202024%2002:47:02%20GMT	https://thenewgym.vn/wp-content/uploads/2024/02/CARDIO.jpg	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2024/02/CARDIO.jpg	(from https://thenewgym.vn/en/clubs/)
21:04:45	978069/978069	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Jan%202024%2003:33:07%20GMT	https://thenewgym.vn/wp-content/uploads/2024/01/COMING-SOON-PA%c2%90L.png	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2024/01/COMING-SOON-PA%c2%90L.png	(from https://thenewgym.vn/en/clubs/)
21:04:46	784304/784304	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2006:56:50%20GMT	https://thenewgym.vn/wp-content/uploads/2023/02/CHE-DO-DINH-DUONG-2.png	D:/Fresher_Training/QNSportict/thenewgym.vn/wp-content/uploads/2023/02/CHE-DO-DINH-DUONG-2.png	(from https://thenewgym.vn/en/fitness-support/)
21:04:46	53035/53035	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2014:06:46%20GMT	https://thenewgym.vn/en/system/the-new-gym-da-nang/	D:/Fresher_Training/QNSportict/thenewgym.vn/en/system/the-new-gym-da-nang/index.html	(from https://thenewgym.vn/en/clubs/)
